id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Year Released
745H5CctFr12Mo7cqa1BMH,My Girl,80,165000,0,['The Temptations'],['3RwQ26hR2tJtA8F9p2n7jG'],1965-03-22,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,4,1965
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,82,151667,0,"['Marvin Gaye', 'Tammi Terrell']","['3koiLjNrgRTNbOwViDipeA', '75jNCko3SnEMI5gwGqrbb8']",1967-08-29,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,4,1967
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,80,183307,0,['Van Morrison'],['44NX2ffIYHr6D4n7RaZF7A'],1967-09,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,4,1967
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,83,185733,0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1969-09-26,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4,1969
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,83,140773,0,['Creedence Clearwater Revival'],['3IYUhFvPQItj6xySrBmZkd'],1969-11-02,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4,1969
38zsOOcu31XbbYj9BIPUF1,Your Song,80,241787,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1970-04-10,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,4,1970
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,80,377093,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1971-11-05,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4,1971
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,281613,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1972-05-19,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,4,1972
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,83,283800,0,['Lynyrd Skynyrd'],['4MVyzYMgTwdP7Z49wAZHx0'],1974-04-15,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,4,1974
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,83,354320,0,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],1975-11-21,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,4,1975
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,84,391376,0,['Eagles'],['0ECwFtbIWEVNwjlrfc6xoL'],1976-12-08,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4,1976
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,81,230400,0,['ABBA'],['0LcJLqbBmaGUft1e9Mm8HV'],1976,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4,1976
1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,80,285133,0,['Boston'],['29kkCKKGXheHuoO829FxWK'],1976,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,4,1976
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,86,257800,0,['Fleetwood Mac'],['08GQAI4eElDnROBrJRGE0X'],1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,1977
2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,82,303373,0,['Electric Light Orchestra'],['7jefIIksOi1EazgRTfW2Pk'],1977,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,4,1977
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,82,270213,0,['Fleetwood Mac'],['08GQAI4eElDnROBrJRGE0X'],1977-02-04,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4,1977
6A9mKXlFRPMPem6ygQSt7z,Three Little Birds,80,180267,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1977-01-03,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,4,1977
4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered,80,122067,0,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],1977-10-28,0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308,4,1977
5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,82,209413,0,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],1978-11-10,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4,1978
2grjqo0Frpf2okIBiifQKs,September,81,215093,0,"['Earth, Wind & Fire']",['4QQgXkCYTt3BlENzhyNETg'],1978-11-23,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4,1978
37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,81,348624,0,['Dire Straits'],['0WwSkZ7LtFUFjGjMZBMt6T'],1978-10-07,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4,1978
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,84,208400,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1979-07-27,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,1979
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,80,271240,0,['KISS'],['07XSN3sPlIlB2L2XNcTwJw'],1979-03-23,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,4,1979
